p,d,k,l
9851,4,1,1
9857,4,1,1
9859,4,1,1
9871,4,1,1
9883,4,1,1
9887,4,1,1
9901,4,1,1
9907,4,1,1
9923,4,1,1
9929,4,1,1
9931,4,1,1
9941,4,1,1
9949,4,1,1
9967,4,1,1
9973,4,1,1
10061,5,1,2
10091,5,1,2
10163,5,1,2
10253,5,1,2
10271,5,1,2
10313,5,1,2
10331,5,1,2
10529,5,1,2
10589,5,1,4
10613,5,1,2
10691,5,1,3
10709,5,1,3
10733,5,1,2
10781,5,1,2
10799,5,1,2
10883,5,1,2
11171,5,1,3
11321,5,1,2
11369,5,1,2
11393,5,1,2
11471,5,1,3
11519,5,1,2
11549,5,1,4
11579,5,1,2
11699,5,1,2
11783,5,1,2
11801,5,1,3
11813,5,1,2
11831,5,1,2
11909,5,1,4
11939,5,1,2
12011,5,1,2
12041,5,1,2
12101,5,1,3
12119,5,1,4
12203,5,1,2
12263,5,1,2
12329,5,1,2
12653,5,1,2
12671,5,1,2
12791,5,1,2
12821,5,1,3
12899,5,1,3
12923,5,1,2
12959,5,1,3
13001,5,1,2
13049,5,1,2
13229,5,1,3
13313,5,1,2
13451,5,1,2
13463,5,1,2
13553,5,1,2
13619,5,1,2
13649,5,1,2
13763,5,1,2
13883,5,1,2
13901,5,1,2
13913,5,1,2
14009,5,1,3
14081,5,1,2
14153,5,1,2
14159,5,1,2
14249,5,1,3
14303,5,1,2
14321,5,1,3
14489,5,1,2
14561,5,1,2
14621,5,1,2
14669,5,1,3
14699,5,1,2
14741,5,1,3
14783,5,1,2
14831,5,1,2
14879,5,1,2
14939,5,1,2
15101,5,1,2
15161,5,1,3
15173,5,1,2
15233,5,1,2
15269,5,1,2
15401,5,1,2
15569,5,1,2
15629,5,1,2
15773,5,1,2
15791,5,1,2
15803,5,1,2
15923,5,1,2
16001,5,1,3
16091,5,1,2
16253,5,1,2
16301,5,1,2
16421,5,1,3
16493,5,1,2
16553,5,1,2
16673,5,1,2
16811,5,1,3
16823,5,1,2
16883,5,1,2
16931,5,1,2
17159,5,1,4
17183,5,1,2
17291,5,1,2
17333,5,1,2
17351,5,1,2
17579,5,1,2
17669,5,1,2
17681,5,1,2
17939,5,1,2
17981,5,1,2
18041,5,1,3
18131,5,1,2
18149,5,1,2
18191,5,1,3
18233,5,1,2
18341,5,1,2
18443,5,1,2
18461,5,1,3
18731,5,1,2
18773,5,1,2
18803,5,1,2
18899,5,1,2
19163,5,1,2
19301,5,1,2
19319,5,1,3
19373,5,1,2
19391,5,1,2
19433,5,1,2
19553,5,1,2
19559,5,1,2
19661,5,1,2
19709,5,1,4
19751,5,1,2
19889,5,1,4
19913,5,1,2
19919,5,1,2
19991,5,1,3
20063,5,1,2
20249,5,1,2
20369,5,1,2
20393,5,1,2
20411,5,1,3
20441,5,1,2
20693,5,1,2
20753,5,1,2
20759,5,1,2
20771,5,1,2
20789,5,1,2
20879,5,1,2
20921,5,1,2
20939,5,1,2
20963,5,1,2
21011,5,1,3
21089,5,1,2
21149,5,1,2
21179,5,1,3
21221,5,1,2
21341,5,1,2
21383,5,1,2
21419,5,1,2
21611,5,1,2
21701,5,1,2
21713,5,1,2
21803,5,1,2
21893,5,1,2
22013,5,1,2
22079,5,1,2
22133,5,1,2
22259,5,1,2
22271,5,1,3
22343,5,1,2
22349,5,1,4
22409,5,1,2
22433,5,1,2
22469,5,1,2
22481,5,1,2
22541,5,1,2
22751,5,1,2
22853,5,1,2
22943,5,1,2
23099,5,1,3
23279,5,1,2
23321,5,1,3
23339,5,1,2
23459,5,1,2
23561,5,1,2
23603,5,1,2
23669,5,1,2
23753,5,1,2
23819,5,1,3
23909,5,1,2
23981,5,1,2
24203,5,1,2
24239,5,1,3
24281,5,1,3
24473,5,1,2
24509,5,1,2
24551,5,1,3
24611,5,1,2
24683,5,1,2
24749,5,1,3
24971,5,1,2
25073,5,1,2
25229,5,1,2
25523,5,1,2
25601,5,1,3
25643,5,1,2
25673,5,1,2
25703,5,1,2
25799,5,1,2
25841,5,1,2
25913,5,1,2
25919,5,1,2
26111,5,1,2
26189,5,1,4
26459,5,1,2
26501,5,1,2
26573,5,1,2
26633,5,1,2
26849,5,1,2
26879,5,1,2
26891,5,1,2
26993,5,1,2
27143,5,1,2
27281,5,1,2
27479,5,1,4
27539,5,1,2
27551,5,1,2
27581,5,1,2
27743,5,1,2
27773,5,1,2
27809,5,1,2
27893,5,1,2
27983,5,1,2
28001,5,1,2
28019,5,1,2
28403,5,1,2
28499,5,1,2
28559,5,1,2
28571,5,1,2
28643,5,1,2
28751,5,1,2
28793,5,1,2
28859,5,1,2
28901,5,1,2
28949,5,1,2
28961,5,1,2
29021,5,1,2
29033,5,1,2
29201,5,1,2
29339,5,1,2
29363,5,1,2
29453,5,1,2
29483,5,1,2
29531,5,1,3
29723,5,1,2
29873,5,1,2
30269,5,1,2
30323,5,1,2
30389,5,1,4
30449,5,1,2
30671,5,1,2
30689,5,1,2
30773,5,1,2
30851,5,1,3
30983,5,1,2
31019,5,1,2
31151,5,1,2
31253,5,1,2
31319,5,1,2
31469,5,1,2
31649,5,1,2
31721,5,1,2
31793,5,1,2
31799,5,1,2
31859,5,1,2
32003,5,1,2
32009,5,1,2
32141,5,1,2
32159,5,1,2
32381,5,1,3
32531,5,1,3
32561,5,1,2
32573,5,1,2
32633,5,1,2
32771,5,1,2
32789,5,1,2
32843,5,1,2
32933,5,1,2
33023,5,1,2
33053,5,1,2
33119,5,1,2
33179,5,1,2
33191,5,1,2
33461,5,1,2
33479,5,1,3
33521,5,1,3
33569,5,1,2
33623,5,1,2
33713,5,1,2
33749,5,1,3
33773,5,1,2
33809,5,1,2
33941,5,1,2
34253,5,1,2
34283,5,1,2
34319,5,1,3
34439,5,1,2
34631,5,1,2
34883,5,1,2
34913,5,1,2
34949,5,1,2
35069,5,1,2
35081,5,1,2
35099,5,1,2
35111,5,1,2
35291,5,1,2
35573,5,1,2
35831,5,1,2
35933,5,1,2
35993,5,1,2
35999,5,1,3
36083,5,1,2
36191,5,1,2
36251,5,1,3
36353,5,1,2
36383,5,1,2
36479,5,1,2
36563,5,1,2
36629,5,1,3
36761,5,1,3
36791,5,1,2
36821,5,1,2
36923,5,1,2
36929,5,1,2
37013,5,1,2
37049,5,1,3
37139,5,1,2
37181,5,1,3
37253,5,1,2
37379,5,1,3
37619,5,1,2
